date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2007-05-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,miscellaneous food,Sugar (white),KG,actual,Retail,ILS,4.0,1.0152
2007-05-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,oil and fats,Oil (olive),KG,actual,Retail,ILS,23.33,5.9213
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Bread,KG,actual,Retail,ILS,2.0,0.4843
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Rice (long grain),KG,actual,Retail,ILS,13.0,3.1477
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,"Rice (short grain, low quality, local)",KG,actual,Retail,ILS,4.5,1.0896
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Semolina,KG,actual,Retail,ILS,3.0,0.7264
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Wheat,KG,actual,Retail,ILS,1.5,0.3632
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Wheat flour,KG,actual,Retail,ILS,4.0,0.9685
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,10.5,2.5424
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,milk and dairy,Milk (pasteurized),L,actual,Retail,ILS,6.25,1.5133
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,miscellaneous food,Sugar (white),KG,actual,Retail,ILS,4.0,0.9685
2007-06-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,oil and fats,Oil (olive),KG,actual,Retail,ILS,23.33,5.6489
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Bread,KG,actual,Retail,ILS,2.0,0.4677
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Rice (long grain),KG,actual,Retail,ILS,13.0,3.0402
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,"Rice (short grain, low quality, local)",KG,actual,Retail,ILS,4.5,1.0524
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Semolina,KG,actual,Retail,ILS,3.25,0.76
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Wheat,KG,actual,Retail,ILS,1.4,0.3274
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Wheat flour,KG,actual,Retail,ILS,4.0,0.9354
2007-07-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,10.5,2.4555
