year,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,T_TL,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75Plus,M_TL,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75Plus,F_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75Plus
2020,Kepulauan Bangka Belitung,ID19,Indonesia,ID,1469809,124275,123587,120672,120720,121333,120774,119649,117764,109293,100208,86013,69547,52478,37658,24938,20900,756922,62847,62853,61163,61031,61205,61317,61510,61296,57925,53327,45630,36822,27990,19913,12634,9459,712887,61428,60734,59509,59689,60128,59457,58139,56468,51368,46881,40383,32725,24488,17745,12304,11441
2020,Kepulauan Riau,ID21,Indonesia,ID,2309529,217876,199993,191088,185138,221769,235062,205789,204589,178729,146527,114631,76789,54188,35278,21911,20172,1179002,110268,102608,97135,93176,110425,115035,104659,105404,91874,78241,61665,41248,28994,18006,10690,9574,1130527,107608,97385,93953,91962,111344,120027,101130,99185,86855,68286,52966,35541,25194,17272,11221,10598
2020,Lampung,ID18,Indonesia,ID,8534849,708834,718479,720987,710909,694944,681559,675463,654082,620880,579297,501113,415412,321076,229172,149947,152695,4364289,358553,366606,366045,357861,352066,349009,347899,337399,322643,300340,258336,213717,167494,118925,75558,71838,4170560,350281,351873,354942,353048,342878,332550,327564,316683,298237,278957,242777,201695,153582,110247,74389,80857
2020,Maluku,ID81,Indonesia,ID,1787087,167929,166705,165931,163228,158418,154132,145650,132952,117246,104406,87932,72020,56177,40600,27611,26150,900404,84787,84954,83759,82215,80163,78339,74723,67675,59279,53025,43677,35293,27780,19835,13295,11605,886683,83142,81751,82172,81013,78255,75793,70927,65277,57967,51381,44255,36727,28397,20765,14316,14545
2020,Maluku Utara,ID82,Indonesia,ID,1252317,116173,116171,115471,111706,109152,107939,103112,95233,86674,77347,64682,51259,37571,26659,17356,15812,637326,58680,58967,58626,56368,55280,54826,52599,48732,44717,40164,33396,26018,19209,13686,8715,7343,614991,57493,57204,56845,55338,53872,53113,50513,46501,41957,37183,31286,25241,18362,12973,8641,8469
2020,Nusa Tenggara Barat,ID52,Indonesia,ID,5225915,492443,473931,452763,430444,419014,419437,413168,396354,368746,339312,293995,239349,182678,131563,88727,83991,2563949,248547,240339,227346,212870,206696,208533,206589,195680,179666,163309,140675,112202,85800,60952,40023,34722,2661966,243896,233592,225417,217574,212318,210904,206579,200674,189080,176003,153320,127147,96878,70611,48704,49269
2020,Nusa Tenggara Timur,ID53,Indonesia,ID,5513402,576978,539515,512579,491288,468571,448298,428131,389810,343466,310316,273194,230396,181487,134152,92681,92540,2731573,291220,273495,258586,246107,234238,226446,216981,192919,167241,150178,131395,110359,86718,63495,42808,39387,2781829,285758,266020,253993,245181,234333,221852,211150,196891,176225,160138,141799,120037,94769,70657,49873,53153
2020,Papua,ID94,Indonesia,ID,3393075,314504,309295,302584,298565,300437,298005,286559,273052,249337,225972,188875,142967,97123,59708,29519,16573,1777713,158655,156751,153875,152320,154776,154171,150674,145345,133446,121369,102904,78764,55331,33806,16405,9121,1615362,155849,152544,148709,146245,145661,143834,135885,127707,115891,104603,85971,64203,41792,25902,13114,7452
2020,Papua Barat,ID91,Indonesia,ID,986024,94356,93212,91202,89452,90857,92651,88260,80768,70004,57322,45595,34683,25070,15809,9389,7394,518062,47592,48005,46823,46255,47881,49368,47031,42869,37577,30582,24333,18821,13653,8490,4985,3797,467962,46764,45207,44379,43197,42976,43283,41229,37899,32427,26740,21262,15862,11417,7319,4404,3597
2020,Riau,ID14,Indonesia,ID,6951217,641590,677602,702999,618680,537502,567930,606204,568646,511051,445843,362974,258572,194005,131030,64617,61972,3553202,324587,345443,363239,315618,272369,298218,308979,288360,258775,226394,186678,134589,103795,67978,30849,27331,3398015,317003,332159,339760,303062,265133,269712,297225,280286,252276,219449,176296,123983,90210,63052,33768,34641
2020,Sulawesi Barat,ID76,Indonesia,ID,1378110,132516,130522,126279,120513,116394,111547,107023,101549,96661,92642,78584,55445,40454,30775,19079,18127,692156,66903,66108,63377,59813,58288,56584,54260,51950,49340,46906,40289,27694,19535,14412,8664,8033,685954,65613,64414,62902,60700,58106,54963,52763,49599,47321,45736,38295,27751,20919,16363,10415,10094
2020,Sulawesi Selatan,ID73,Indonesia,ID,8888762,708886,723179,724609,719522,713679,702220,696173,694094,656357,599893,526421,440773,349423,261724,183352,188457,4348464,358468,366225,366156,362016,355856,350238,344762,340532,317517,290687,251851,206902,164100,120362,80518,72274,4540298,350418,356954,358453,357506,357823,351982,351411,353562,338840,309206,274570,233871,185323,141362,102834,116183
2020,Sulawesi Tengah,ID72,Indonesia,ID,3081720,280335,275238,265668,254844,249291,250429,248124,241576,224209,202672,173645,139575,105448,74977,49409,46280,1565125,141551,139681,134316,128035,125645,127243,126311,123501,115710,105136,89569,71113,54117,38106,24439,20652,1516595,138784,135557,131352,126809,123646,123186,121813,118075,108499,97536,84076,68462,51331,36871,24970,25628
2020,Sulawesi Tenggara,ID74,Indonesia,ID,2703466,263955,254236,256761,253583,239458,221701,212294,200779,179850,160700,135914,107711,82020,57651,38436,38417,1352916,133407,130330,130723,127566,118584,108935,106451,100925,90059,81223,68456,53512,40718,27883,18030,16114,1350550,130548,123906,126038,126017,120874,112766,105843,99854,89791,79477,67458,54199,41302,29768,20406,22303
2020,Sulawesi Utara,ID71,Indonesia,ID,2512942,194607,196816,193614,193291,192611,190471,187967,185419,181019,177075,162088,140893,114095,85314,59711,57951,1279584,98445,100370,99223,98321,98124,98140,97657,96701,94189,91496,82851,71131,57590,42454,28886,24006,1233358,96162,96446,94391,94970,94487,92331,90310,88718,86830,85579,79237,69762,56505,42860,30825,33945
2020,Sumatera Barat,ID13,Indonesia,ID,5545706,518129,515545,506703,486200,464504,447513,436197,416277,377203,332805,282423,234100,184875,138783,98005,106444,2760588,261436,261420,258056,244946,234516,227400,220426,206587,186845,163415,137435,113129,89620,65516,45048,44793,2785118,256693,254125,248647,241254,229988,220113,215771,209690,190358,169390,144988,120971,95255,73267,52957,61651
2020,Sumatera Selatan,ID16,Indonesia,ID,8600765,798399,766280,747240,733314,721891,713382,692693,669799,613005,545008,462103,374672,290597,206624,138616,127142,4357996,403892,390400,379981,371815,365869,363350,355131,342968,314152,278118,233753,188551,145853,102565,67275,54323,4242769,394507,375880,367259,361499,356022,350032,337562,326831,298853,266890,228350,186121,144744,104059,71341,72819
2020,Sumatera Utara,ID12,Indonesia,ID,14798404,1359575,1382818,1380991,1357878,1310873,1210757,1141219,1074703,978851,891784,764831,640177,503290,358088,237368,205201,7392735,687626,708234,704381,690581,667520,615889,576561,536081,482769,437252,374403,310831,242645,168735,108509,80718,7405669,671949,674584,676610,667297,643353,594868,564658,538622,496082,454532,390428,329346,260645,189353,128859,124483
