year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_VI,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,VNM,Viet Nam,VN,Kien Giang,Kiên Giang,VN813,857650,887088,1744738,53328,52952,69528,65740,56392,49725,65425,71664,71215,62117,56330,51903,42281,34279,25451,13110,16210,57165,56339,73944,70388,61744,57519,75029,81815,78445,64643,58073,50588,36900,24425,20007,10079,9985,110493,109291,143472,136128,118136,107244,140454,153479,149660,126760,114403,102491,79181,58704,45458,23189,26195
2024,VNM,Viet Nam,VN,Kon Tum,Kon Tum,VN601,288796,292508,581304,26910,29472,30595,27399,22853,20192,23332,22399,19649,15530,12932,11010,9226,6782,4321,2643,3551,28800,30543,31779,28065,23780,21873,24161,22839,19711,15889,13572,10914,8156,5490,3130,1750,2056,55710,60015,62374,55464,46633,42065,47493,45238,39360,31419,26504,21924,17382,12272,7451,4393,5607
2024,VNM,Viet Nam,VN,Lai Chau,Lai Châu,VN301,245575,253225,498800,23219,25868,28351,25386,19593,17320,20315,19932,16055,12240,9846,8550,6750,4490,2805,1775,3080,25880,27575,29801,26551,21482,19333,21428,20410,16743,12606,9802,7771,5866,3434,2018,1077,1448,49099,53443,58152,51937,41075,36653,41743,40342,32798,24846,19648,16321,12616,7924,4823,2852,4528
2024,VNM,Viet Nam,VN,Lam Dong,Lâm Đồng,VN607,667766,679249,1347015,48068,53911,57374,53562,45673,42054,51473,51615,48767,44652,42387,38038,32289,23438,14204,8182,12079,51875,57309,61313,56132,48269,47353,56361,53728,47965,44378,43437,37781,29642,20219,10989,5697,6801,99943,111220,118687,109694,93942,89407,107834,105343,96732,89030,85824,75819,61931,43657,25193,13879,18880
2024,VNM,Viet Nam,VN,Lang Son,Lạng Sơn,VN209,388678,411673,800351,24701,31991,33325,27154,21577,18519,28720,31539,29131,27556,24837,24398,23761,16100,9456,6771,9142,27729,36557,36843,28262,26301,27009,37699,38742,32785,27776,23605,21845,19778,12361,6294,3664,4423,52430,68548,70168,55416,47878,45528,66419,70281,61916,55332,48442,46243,43539,28461,15750,10435,13565
2024,VNM,Viet Nam,VN,Lao Cai,Lào Cai,VN205,379963,396095,776058,31656,36559,38087,33687,27546,25426,31823,30155,26218,21930,18842,17056,14950,10362,5816,3953,5897,35437,40659,41445,35832,29926,29005,35141,33281,27582,21770,18536,15981,13211,8734,4358,2299,2898,67093,77218,79532,69519,57472,54431,66964,63436,53800,43700,37378,33037,28161,19096,10174,6252,8795
2024,VNM,Viet Nam,VN,Long An,Long An,VN801,891985,894135,1786120,54580,51442,60588,60461,56726,54203,71699,76395,75206,65035,59998,55879,47370,38967,26092,14709,22635,58468,55444,65109,64179,61520,60450,76273,79310,76871,68069,61414,54929,41807,29299,20022,9567,11404,113048,106886,125697,124640,118246,114653,147972,155705,152077,133104,121412,110808,89177,68266,46114,24276,34039
2024,VNM,Viet Nam,VN,Nam Dinh,Nam Định,VN113,899466,870964,1770430,61914,67744,72135,60406,45340,38320,53819,60913,59758,55381,56284,54091,63348,53836,38374,23522,34281,70815,75002,78648,64837,49940,42389,53914,58523,57817,52347,51767,48298,54336,45892,29693,18144,18602,132729,142746,150783,125243,95280,80709,107733,119436,117575,107728,108051,102389,117684,99728,68067,41666,52883
2024,VNM,Viet Nam,VN,Nghe An,Nghệ An,VN403,1712531,1749793,3462324,147954,155944,146636,112792,94919,109682,137375,122325,108148,103187,99840,91556,89789,66154,50191,29821,46218,161051,169365,159598,120485,103766,123812,161579,143630,112948,100713,93563,83180,76112,56316,36992,21738,24945,309005,325309,306234,233277,198685,233494,298954,265955,221096,203900,193403,174736,165901,122470,87183,51559,71163
2024,VNM,Viet Nam,VN,Ninh Binh,Ninh Bình,VN117,501697,502400,1004097,36754,43046,41975,31787,24458,26079,38481,39080,34006,28637,28219,26867,31129,25684,17715,11069,16711,41909,46920,45154,33871,27053,28932,41547,42309,35875,27946,26777,24745,27020,21818,13427,8224,8873,78663,89966,87129,65658,51511,55011,80028,81389,69881,56583,54996,51612,58149,47502,31142,19293,25584
